@relation C3-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute 6.3 numeric
@attribute 3.3 numeric
@attribute 6 numeric
@attribute 2.5 numeric
@attribute Class {C3,not_C3}

@data
5.8,2.7,5.1,1.9,C3
7.1,3,5.9,2.1,C3
6.5,3,5.8,2.2,C3
7.6,3,6.6,2.1,C3
4.9,2.5,4.5,1.7,C3
7.3,2.9,6.3,1.8,C3
6.7,2.5,5.8,1.8,C3
6.5,3.2,5.1,2,C3
6.4,2.7,5.3,1.9,C3
6.8,3,5.5,2.1,C3
5.8,2.8,5.1,2.4,C3
6.4,3.2,5.3,2.3,C3
7.7,3.8,6.7,2.2,C3
5.6,2.8,4.9,2,C3
7.7,2.8,6.7,2,C3
6.3,2.7,4.9,1.8,C3
6.7,3.3,5.7,2.1,C3
7.2,3.2,6,1.8,C3
6.1,3,4.9,1.8,C3
6.4,2.8,5.6,2.1,C3
6.4,2.8,5.6,2.2,C3
6.3,2.8,5.1,1.5,C3
6.1,2.6,5.6,1.4,C3
7.7,3,6.1,2.3,C3
6.3,3.4,5.6,2.4,C3
6.4,3.1,5.5,1.8,C3
6,3,4.8,1.8,C3
6.9,3.1,5.4,2.1,C3
6.7,3.1,5.6,2.4,C3
6.9,3.1,5.1,2.3,C3
6.8,3.2,5.9,2.3,C3
6.7,3.3,5.7,2.5,C3
6.5,3,5.2,2,C3
6.2,3.4,5.4,2.3,C3
5.9,3,5.1,1.8,C3
6.5,3,5.5,1.8,C3
6,2.2,5,1.5,C3
6.9,3.2,5.7,2.3,C3
6.2,2.8,4.8,1.8,C3
6.3,2.9,5.6,1.8,C3
7.2,3.6,6.1,2.5,C3
5.7,2.5,5,2,C3
7.2,3,5.8,1.6,C3
7.4,2.8,6.1,1.9,C3
7.9,3.8,6.4,2,C3
5.8,2.7,5.1,1.9,C3
6.7,3,5.2,2.3,C3
6.3,2.5,5,1.9,C3
7.7,2.6,6.9,2.3,C3
4.9,3,1.4,0.2,not_C3
4.6,3.1,1.5,0.2,not_C3
5,3.6,1.4,0.2,not_C3
5.4,3.9,1.7,0.4,not_C3
5,3.4,1.5,0.2,not_C3
4.4,2.9,1.4,0.2,not_C3
4.8,3.4,1.6,0.2,not_C3
4.8,3,1.4,0.1,not_C3
4.3,3,1.1,0.1,not_C3
5.7,4.4,1.5,0.4,not_C3
5.4,3.9,1.3,0.4,not_C3
5.1,3.5,1.4,0.3,not_C3
5.4,3.4,1.7,0.2,not_C3
5.1,3.7,1.5,0.4,not_C3
4.6,3.6,1,0.2,not_C3
5.1,3.3,1.7,0.5,not_C3
4.8,3.4,1.9,0.2,not_C3
5,3,1.6,0.2,not_C3
5,3.4,1.6,0.4,not_C3
5.2,3.5,1.5,0.2,not_C3
5.2,3.4,1.4,0.2,not_C3
