@relation C2-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute 7 numeric
@attribute 3.2 numeric
@attribute 4.7 numeric
@attribute 1.4 numeric
@attribute Class {C2,not_C2}

@data
6.4,3.2,4.5,1.5,C2
6.9,3.1,4.9,1.5,C2
5.5,2.3,4,1.3,C2
6.3,3.3,4.7,1.6,C2
4.9,2.4,3.3,1,C2
6,2.2,4,1,C2
6.1,2.9,4.7,1.4,C2
5.6,2.9,3.6,1.3,C2
6.7,3.1,4.4,1.4,C2
5.6,3,4.5,1.5,C2
5.8,2.7,4.1,1,C2
6.2,2.2,4.5,1.5,C2
5.6,2.5,3.9,1.1,C2
5.9,3.2,4.8,1.8,C2
6.1,2.8,4,1.3,C2
6.3,2.5,4.9,1.5,C2
6.1,2.8,4.7,1.2,C2
6.4,2.9,4.3,1.3,C2
6.6,3,4.4,1.4,C2
6.7,3,5,1.7,C2
5.7,2.6,3.5,1,C2
5.5,2.4,3.7,1,C2
5.8,2.7,3.9,1.2,C2
6,2.7,5.1,1.6,C2
5.4,3,4.5,1.5,C2
6.7,3.1,4.7,1.5,C2
6.3,2.3,4.4,1.3,C2
5.5,2.6,4.4,1.2,C2
6.1,3,4.6,1.4,C2
5.8,2.6,4,1.2,C2
5,2.3,3.3,1,C2
5.6,2.7,4.2,1.3,C2
5.7,3,4.2,1.2,C2
5.7,2.9,4.2,1.3,C2
6.2,2.9,4.3,1.3,C2
6.6,2.9,4.6,1.3,C2
6.8,2.8,4.8,1.4,C2
6,2.9,4.5,1.5,C2
6,3.4,4.5,1.6,C2
5.7,2.8,4.5,1.3,C2
5.2,2.7,3.9,1.4,C2
5,2,3.5,1,C2
5.9,3,4.2,1.5,C2
5.5,2.4,3.8,1.1,C2
5.6,3,4.1,1.3,C2
5.5,2.5,4,1.3,C2
5.1,2.5,3,1.1,C2
5.7,2.8,4.1,1.3,C2
6.5,2.8,4.6,1.5,C2
4.9,3,1.4,0.2,not_C2
4.6,3.1,1.5,0.2,not_C2
5,3.6,1.4,0.2,not_C2
5.4,3.9,1.7,0.4,not_C2
