@relation C1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute 5.1 numeric
@attribute 3.5 numeric
@attribute 1.4 numeric
@attribute 0.2 numeric
@attribute Class {C1,not_C1}

@data
4.9,3,1.4,0.2,C1
4.6,3.1,1.5,0.2,C1
5,3.6,1.4,0.2,C1
5.4,3.9,1.7,0.4,C1
5,3.4,1.5,0.2,C1
4.4,2.9,1.4,0.2,C1
4.8,3.4,1.6,0.2,C1
4.8,3,1.4,0.1,C1
4.3,3,1.1,0.1,C1
5.7,4.4,1.5,0.4,C1
5.4,3.9,1.3,0.4,C1
5.1,3.5,1.4,0.3,C1
5.4,3.4,1.7,0.2,C1
5.1,3.7,1.5,0.4,C1
4.6,3.6,1,0.2,C1
5.1,3.3,1.7,0.5,C1
4.8,3.4,1.9,0.2,C1
5,3,1.6,0.2,C1
5,3.4,1.6,0.4,C1
5.2,3.5,1.5,0.2,C1
5.2,3.4,1.4,0.2,C1
4.7,3.2,1.6,0.2,C1
4.8,3.1,1.6,0.2,C1
5.4,3.4,1.5,0.4,C1
5.2,4.1,1.5,0.1,C1
5.5,4.2,1.4,0.2,C1
5,3.2,1.2,0.2,C1
5.5,3.5,1.3,0.2,C1
5.1,3.4,1.5,0.2,C1
5,3.5,1.3,0.3,C1
4.5,2.3,1.3,0.3,C1
5.1,3.8,1.9,0.4,C1
4.8,3,1.4,0.3,C1
4.6,3.2,1.4,0.2,C1
5.3,3.7,1.5,0.2,C1
5,3.3,1.4,0.2,C1
4.7,3.2,1.3,0.2,C1
5.8,4,1.2,0.2,C1
4.4,3.2,1.3,0.2,C1
4.6,3.4,1.4,0.3,C1
5.4,3.7,1.5,0.2,C1
5.7,3.8,1.7,0.3,C1
5.1,3.8,1.5,0.3,C1
4.9,3.1,1.5,0.1,C1
4.9,3.1,1.5,0.1,C1
4.4,3,1.3,0.2,C1
5.1,3.8,1.6,0.2,C1
4.9,3.1,1.5,0.1,C1
5,3.5,1.6,0.6,C1
6.4,3.2,4.5,1.5,not_C1
6.9,3.1,4.9,1.5,not_C1
5.5,2.3,4,1.3,not_C1
6.3,3.3,4.7,1.6,not_C1
4.9,2.4,3.3,1,not_C1
6,2.2,4,1,not_C1
6.1,2.9,4.7,1.4,not_C1
5.6,2.9,3.6,1.3,not_C1
6.7,3.1,4.4,1.4,not_C1
5.6,3,4.5,1.5,not_C1
5.8,2.7,4.1,1,not_C1
6.2,2.2,4.5,1.5,not_C1
5.6,2.5,3.9,1.1,not_C1
5.9,3.2,4.8,1.8,not_C1
6.1,2.8,4,1.3,not_C1
6.3,2.5,4.9,1.5,not_C1
6.1,2.8,4.7,1.2,not_C1
6.4,2.9,4.3,1.3,not_C1
6.6,3,4.4,1.4,not_C1
6.7,3,5,1.7,not_C1
5.7,2.6,3.5,1,not_C1
5.5,2.4,3.7,1,not_C1
5.8,2.7,3.9,1.2,not_C1
6,2.7,5.1,1.6,not_C1
5.4,3,4.5,1.5,not_C1
6.7,3.1,4.7,1.5,not_C1
6.3,2.3,4.4,1.3,not_C1
5.5,2.6,4.4,1.2,not_C1
6.1,3,4.6,1.4,not_C1
5.8,2.6,4,1.2,not_C1
5,2.3,3.3,1,not_C1
5.6,2.7,4.2,1.3,not_C1
5.7,3,4.2,1.2,not_C1
5.7,2.9,4.2,1.3,not_C1
6.2,2.9,4.3,1.3,not_C1
6.6,2.9,4.6,1.3,not_C1
6.8,2.8,4.8,1.4,not_C1
6,2.9,4.5,1.5,not_C1
6,3.4,4.5,1.6,not_C1
5.7,2.8,4.5,1.3,not_C1
5.2,2.7,3.9,1.4,not_C1
5,2,3.5,1,not_C1
5.9,3,4.2,1.5,not_C1
5.5,2.4,3.8,1.1,not_C1
5.6,3,4.1,1.3,not_C1
5.5,2.5,4,1.3,not_C1
5.1,2.5,3,1.1,not_C1
5.7,2.8,4.1,1.3,not_C1
6.5,2.8,4.6,1.5,not_C1
5.8,2.7,5.1,1.9,not_C1
7.1,3,5.9,2.1,not_C1
6.5,3,5.8,2.2,not_C1
7.6,3,6.6,2.1,not_C1
4.9,2.5,4.5,1.7,not_C1
7.3,2.9,6.3,1.8,not_C1
6.7,2.5,5.8,1.8,not_C1
6.5,3.2,5.1,2,not_C1
6.4,2.7,5.3,1.9,not_C1
6.8,3,5.5,2.1,not_C1
5.8,2.8,5.1,2.4,not_C1
6.4,3.2,5.3,2.3,not_C1
7.7,3.8,6.7,2.2,not_C1
5.6,2.8,4.9,2,not_C1
7.7,2.8,6.7,2,not_C1
6.3,2.7,4.9,1.8,not_C1
6.7,3.3,5.7,2.1,not_C1
7.2,3.2,6,1.8,not_C1
6.1,3,4.9,1.8,not_C1
6.4,2.8,5.6,2.1,not_C1
6.4,2.8,5.6,2.2,not_C1
6.3,2.8,5.1,1.5,not_C1
6.1,2.6,5.6,1.4,not_C1
7.7,3,6.1,2.3,not_C1
6.3,3.4,5.6,2.4,not_C1
6.4,3.1,5.5,1.8,not_C1
6,3,4.8,1.8,not_C1
6.9,3.1,5.4,2.1,not_C1
6.7,3.1,5.6,2.4,not_C1
6.9,3.1,5.1,2.3,not_C1
6.8,3.2,5.9,2.3,not_C1
